Geometry;unique_id;x_coord;y_coord;naam;ligging;gentid;geo_point_2d
"{""coordinates"": [3.680585736426643, 51.06718513076175], ""type"": ""Point""}";;;;Bourgoyen;Driepikkelstraat 30A;7.00000000;51.0671851308,3.68058573643
"{""coordinates"": [3.703667408662935, 51.08853123980033], ""type"": ""Point""}";;;;Neptunus;Botestraat 98;10.00000000;51.0885312398,3.70366740866
"{""coordinates"": [3.715381889125503, 51.075967551245576], ""type"": ""Point""}";;;;Jan Yoens;Dracenastraat 8;13.00000000;51.0759675512,3.71538188913
"{""coordinates"": [3.760558613921489, 51.041050863149934], ""type"": ""Point""}";;;;Padel 4U2;Emanuel Hielstraat 108;19.00000000;51.0410508631,3.76055861392
"{""coordinates"": [3.691764012496108, 51.0591962987147], ""type"": ""Point""}";;;;Rooirgem;;26.00000000;51.0591962987,3.6917640125
"{""coordinates"": [3.737832674537721, 51.06365997579473], ""type"": ""Point""}";;;;Buurtsporthal Melopee;;27.00000000;51.0636599758,3.73783267454
"{""coordinates"": [3.759120141657037, 51.04142398688905], ""type"": ""Point""}";;;;Racing Gent Atletiek;Emanuel Hielstraat 106;30.00000000;51.0414239869,3.75912014166
"{""coordinates"": [3.683557332171316, 51.04915243559765], ""type"": ""Point""}";0;101882.43365083;193456.68431704;Topsporthal Vlaanderen;Zuiderlaan 14;2.00000000;51.0491524356,3.68355733217
"{""coordinates"": [3.691317522020725, 51.04629662127349], ""type"": ""Point""}";0;102565.48763522;193169.90592665;Vlaams Wielercentrum Eddie Merckx;Zuiderlaan 8;1.00000000;51.0462966213,3.69131752202
"{""coordinates"": [3.702745569734851, 51.04704643428239], ""type"": ""Point""}";0;103343.29681195;193079.10257238;Koninklijke Roeivereniging Sport Gent;Kanodreef 1;4.00000000;51.0470464343,3.70274556973
"{""coordinates"": [3.722222656271185, 51.04014272266927], ""type"": ""Point""}";0;104576.36667453;192259.39196017;'t Kuipke;Citadelpark;5.00000000;51.0401427227,3.72222265627
"{""coordinates"": [3.733770999623386, 51.01527247326718], ""type"": ""Point""}";;105529.44370000;189676.53700000;Ghelamco Arena (Voetbalstadion);Ottergemsesteenweg;7.00000000;51.0152724733,3.73377099962
"{""coordinates"": [3.768713789565329, 51.03765804428953], ""type"": ""Point""}";;;;Driebeek;Driebeekstraat 22;8.00000000;51.0376580443,3.76871378957
"{""coordinates"": [3.710447353438284, 51.00331031485017], ""type"": ""Point""}";;;;Hekers;Ter Linden 29;9.00000000;51.0033103149,3.71044735344
"{""coordinates"": [3.761315624211413, 51.06003608687387], ""type"": ""Point""}";;;;Rozebroeken;Rozebroekstraat 24;11.00000000;51.0600360869,3.76131562421
"{""coordinates"": [3.733894460332154, 51.05366943062403], ""type"": ""Point""}";;;;Van Eyck;Veermanplein 1;12.00000000;51.0536694306,3.73389446033
"{""coordinates"": [3.681805199424835, 51.04698174016353], ""type"": ""Point""}";;;;Tennishal;Zuiderlaan 10;14.00000000;51.0469817402,3.68180519942
"{""coordinates"": [3.641658501230726, 51.04567007697721], ""type"": ""Point""}";;;;Keiskant;Keiskantstraat 4;15.00000000;51.045670077,3.64165850123
"{""coordinates"": [3.688084423260831, 51.0443716491519], ""type"": ""Point""}";;;;Blaarmeersen;Zuiderlaan 5;16.00000000;51.0443716492,3.68808442326
"{""coordinates"": [3.724548208453102, 51.063343148066224], ""type"": ""Point""}";;;;Tolhuis;Tolhuislaan 77;20.00000000;51.0633431481,3.72454820845
"{""coordinates"": [3.764860466154105, 51.09281854155006], ""type"": ""Point""}";;;;Wolfput;Wolfputstraat 93;21.00000000;51.0928185416,3.76486046615
"{""coordinates"": [3.705054497293146, 51.086365715291755], ""type"": ""Point""}";;;;Neptunus (openlucht);Botestraat 100;22.00000000;51.0863657153,3.70505449729
"{""coordinates"": [3.728967200998758, 51.036467228315196], ""type"": ""Point""}";;;;Strop;Stropstraat 31;24.00000000;51.0364672283,3.728967201
"{""coordinates"": [3.714939289184988, 51.06595928297912], ""type"": ""Point""}";;;;Buurtsporthal Tondelier;;28.00000000;51.065959283,3.71493928918
"{""coordinates"": [3.760754536484977, 51.05969377086912], ""type"": ""Point""}";;;;Rozebroeken;;29.00000000;51.0596937709,3.76075453648
"{""coordinates"": [3.760558613921489, 51.041050863149934], ""type"": ""Point""}";;;;Padel 4U2;Emanuel Hielstraat 108;31.00000000;51.0410508631,3.76055861392
"{""coordinates"": [3.733770999623386, 51.01527247326718], ""type"": ""Point""}";;105529.44370000;189676.53700000;Ghelamco Arena (Voetbalstadion);Ottergemsesteenweg;3.00000000;51.0152724733,3.73377099962
"{""coordinates"": [3.700611297112758, 51.0477958633515], ""type"": ""Point""}";0;103260.96755458;193328.83600510;Gusb;Watersportlaan 3;6.00000000;51.0477958634,3.70061129711
"{""coordinates"": [3.680781120000939, 51.0463511863721], ""type"": ""Point""}";;;;Camping;Zuiderlaan 12;17.00000000;51.0463511864,3.68078112
"{""coordinates"": [3.759120141657037, 51.04142398688905], ""type"": ""Point""}";;;;Racing Gent Atletiek;Emanuel Hielstraat 106;18.00000000;51.0414239869,3.75912014166
"{""coordinates"": [3.691996586323171, 51.05914666977278], ""type"": ""Point""}";;;;Rooigem;Peerstraat 3;23.00000000;51.0591466698,3.69199658632
"{""coordinates"": [3.740193267441341, 51.03282974307785], ""type"": ""Point""}";;;;Buurtsporthal Ledeberg;;25.00000000;51.0328297431,3.74019326744
